 2011 Columbus Pkwy Opelika, AL 36804
 78 Dick Hayes Rd Scottsboro, AL 35769
 510 10th Ave SW Hamilton, AL 35570
 580 South Donahue Dr Auburn, AL 36830
 844 Shoal Creek Trail Arab, AL 35016
 980 Hughes Rd Madison, AL 35758
 300 N Beatty St. Athens, AL 35611
 7440 East Dr. Montgomery, AL 36117
 8901 Airport Blvd. Mobile, AL 36608
 2194 Bowers Park Dr Tuscaloosa, AL 35405
 2920 1st St. SW Huntsville, AL 35805
 St. Nicholas Ave. & Persimmon St. Brewton, AL 36426
 5619 Veterans Memorial Parkway Lanett, AL 36863
 760 Aldock Rd Eight Mile, AL 36613
 760 Aldock Rd Eight Mile, AL 36613
 Grant St. & Court St. Chickasaw, AL 36611
 17850 Municipal Park Dr. Citronelle, AL 36522
 510 Park Dr Clanton, AL 35045
 7257 Old Springville Rd Clay, AL 35126
 1711 Hillcrest Rd. Mobile, AL 36695
 9716 Old Hwy 43 Creola, AL 36525
 28 Lake Shore Dr Daphne, AL 36526
 750 Gin Road Cottonwood, AL 36320
 7346 Grist Mill Rd Childersburg, AL 35044
 Newby Rd SW Huntsville, AL 35805
 8324 Madison Pike Madison, AL 35758
 2049 Sanitary Dairy Rd Ashford, AL 36312
 Sportsplex Blvd. and Arena Rd. Alexander City, AL 35010
 805 N Greeno Rd. Fairhope, AL 36532
 605 Wesley Ave. North Fairview, AL 35058
 3601 Florence Blvd Florence, AL 35634
 1900 US Hwy 31 S Bay Minette, AL 36507
 2616 Modaus Rd Decatur, AL 35603
 8th St and 3rd Ave Fort Rucker, AL 36362
 900 Waldrep Dr Red Bay, AL 35582
 901 Gattman Park Dr Muscle Shoals, AL 35661
 424 19th Ave S Birmingham, AL 35205
 6 Green Creek Rd Madison, AL 35756
 300 Pump House Road Trussville Sports Complex Trussville, AL 35173
 13550 Court Street Moulton, AL 35650
 Co Rd 158 Salem, AL 36874
 1904 Olive St. SW Cullman, AL 35055
 335 Harvestwood Ct. Huntsville, AL 35806
 272 Inverness Pkwy Birmingham, AL 35242
 400 Community St Winfield, AL 35594
 501 Alexandria Rd SW Jacksonville, AL 36265
 4403 McLean Dr Rogersville, AL 35652
 2151 Airport Rd SW Huntsville, AL 35802
 504 Cherokee Dr Trussville, AL 35173
 Mountain St. Heflin, AL 36264
 Veterans Park Dr. Florence, AL 35630
 21026 Agnes Dr McCalla, AL 35111
 Flournoy Dr. Mobile, AL 36608
 700 Motley St Albertville, AL 35950
 8700 Live Oak Road Stockton, AL 36579
 7620 Logan Dr SW Huntsville, AL 35802
 2101 Fieldstown Road Mount Olive, AL 35117
 5345 Atlanta Highway Montgomery, AL 36109
 3315 Watson Dr. NW Huntsville, AL 35810
